order_id,item_sku,item_name,quantity,order_date,price_per_unit,user_id,country,gmv
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047.0,United Kingdom,54.08
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 10:29:00,1.69,13705.0,United Kingdom,27.04
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 10:47:00,1.69,13767.0,United Kingdom,54.08
536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 11:41:00,1.69,14307.0,United Kingdom,13.52
536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 12:22:00,1.69,14849.0,United Kingdom,40.56
536464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 12:23:00,1.69,17968.0,United Kingdom,13.52
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 12:36:00,1.69,16552.0,United Kingdom,27.04
536536,84879,ASSORTED COLOUR BIRD ORNAMENT,80,2010-12-01 13:45:00,1.69,18144.0,United Kingdom,135.2
536607,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 09:29:00,1.69,17732.0,United Kingdom,13.52
536681,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 12:22:00,1.69,17287.0,United Kingdom,13.52
536741,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 13:11:00,1.69,13117.0,United Kingdom,13.52
536749,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-02 13:49:00,1.69,17976.0,United Kingdom,1.69
536785,84879,ASSORTED COLOUR BIRD ORNAMENT,320,2010-12-02 15:22:00,1.45,15061.0,United Kingdom,464.0
536796,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-02 15:46:00,1.69,15574.0,United Kingdom,1.69
536796,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2010-12-02 15:46:00,1.69,15574.0,United Kingdom,8.45
536804,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-02 16:34:00,1.69,14031.0,United Kingdom,81.12
536839,84879,ASSORTED COLOUR BIRD ORNAMENT,96,2010-12-02 18:25:00,1.69,15093.0,United Kingdom,162.24
536841,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 18:27:00,1.69,16150.0,United Kingdom,13.52
536943,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-03 12:11:00,1.69,17884.0,United Kingdom,13.52
536946,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-03 12:28:00,1.69,13013.0,United Kingdom,27.04
